ID,Chunk présent,Explication présente,Exemple présent,YAML présent
regle_p227_29c3e372,True,True,False,False
regle_p227_4fd9eb0d,True,True,False,False
regle_p227_72d7940b,True,True,False,False
regle_p227_8887c0a9,True,True,False,False
regle_p227_8c96e0a1,True,True,False,False
regle_p228_82e80cdd,True,True,False,False
regle_p228_b32296fb,True,True,False,False
regle_p228_c10c76a7,True,True,False,False
regle_p228_dd7960e3,True,True,False,False
regle_p228_f61a0205,True,True,False,False
regle_p229_1cdeaa60,True,True,False,False
regle_p229_37efdddc,True,True,False,False
regle_p229_45825886,True,True,False,False
regle_p229_7d2ff2aa,True,True,False,False
regle_p229_7d44f080,True,True,False,False
regle_p229_7f066a11,True,True,False,False
regle_p229_90aa88bd,True,True,False,False
regle_p229_b0028bd6,True,True,False,False
regle_p229_e07acb0a,True,True,False,False
regle_p229_f3d1b243,True,True,False,False
regle_p230_b8fc5806,True,True,False,False
regle_p232_188a707c,True,True,False,False
regle_p232_2cc96204,True,True,False,False
regle_p233_16148db9,True,True,False,False
regle_p233_3b25f1ab,True,True,False,False
regle_p233_8309d846,True,True,False,False
regle_p233_cd2af10c,True,True,False,False
regle_p235_50dfa536,True,True,False,False
regle_p235_50e2b7f6,True,True,False,False
regle_p235_a2e23cde,True,True,False,False
regle_p235_b8766535,True,True,False,False
regle_p236_145f06ea,True,True,False,False
regle_p236_2fdf70ef,True,True,False,False
regle_p236_61a8698e,True,True,False,False
regle_p236_f025fb5f,True,True,False,False
regle_p236_f5e367fb,True,True,False,False
regle_p237_6c6d7ba3,True,True,False,False
regle_p237_daa542c2,True,True,False,False
regle_p238_0eee2db9,True,True,False,False
regle_p238_17bd37cc,True,True,False,False
regle_p238_1d7d8285,True,True,False,False
regle_p238_ad2f4c15,True,True,False,False
regle_p238_da91060d,True,True,False,False
regle_p239_0725fa58,True,True,False,False
regle_p239_4bdfa308,True,True,False,False
regle_p239_a6f465b2,True,True,False,False
regle_p239_e1202499,True,True,False,False
regle_p239_ff46fe38,True,True,False,False
regle_p240_31dd0998,True,True,False,False
regle_p240_75481402,True,True,False,False
regle_p240_9699f3bc,True,True,False,False
regle_p240_a2f1b53d,True,True,False,False
regle_p241_153fa7d2,True,True,False,False
regle_p241_31cfd2f7,True,True,False,False
regle_p241_4c281d87,True,False,False,False
regle_p241_63b6c878,True,False,False,False
regle_p241_a75da19d,True,False,False,False
regle_p241_baaeb758,True,False,False,False
regle_p241_cc1ecf4e,True,False,False,False
regle_p242_4935396e,True,False,False,False
regle_p242_a7fcff35,True,False,False,False
regle_p243_06d6cbec,True,False,False,False
regle_p244_000062b3,True,False,False,False
regle_p244_2c9d5570,True,False,False,False
regle_p244_6350005f,True,False,False,False
regle_p244_8f949dbc,True,False,False,False
regle_p244_e07422ea,True,False,False,False
regle_p245_02faeabf,True,False,False,False
regle_p245_488a32e8,True,False,False,False
regle_p245_4a721d26,True,False,False,False
regle_p245_5439c10f,True,False,False,False
regle_p245_ef2e2678,True,False,False,False
regle_p246_10d354c0,True,False,False,False
regle_p246_364e1dc6,True,False,False,False
regle_p246_d236caa2,True,False,False,False
regle_p246_d5121e9f,True,False,False,False
regle_p246_d6e86170,True,False,False,False
regle_p246_de50f7f7,True,False,False,False
regle_p247_f4de4fa6,True,False,False,False
regle_p248_614822cd,True,False,False,False
regle_p248_99ce376a,True,False,False,False
regle_p248_abc2fa81,True,False,False,False
regle_p248_e1f954ba,True,False,False,False
regle_p249_636fd5cd,True,False,False,False
regle_p250_f752137a,True,False,False,False
regle_p252_c3b57a37,True,False,False,False
regle_p253_4fba4810,True,False,False,False
regle_p257_17cec82a,True,False,False,False
regle_p257_3adf1dfa,True,False,False,False
regle_p257_45941814,True,False,False,False
regle_p257_74db3556,True,False,False,False
regle_p257_8341bc80,True,False,False,False
regle_p257_8a258c68,True,False,False,False
regle_p257_984a2cbd,True,False,False,False
regle_p257_c8a40b1d,True,False,False,False
regle_p258_67269cb6,True,False,False,False
regle_p258_90df254a,True,False,False,False
regle_p258_b2c44deb,True,False,False,False
regle_p259_2228a229,True,False,False,False
regle_p259_5d9df999,True,False,False,False
regle_p260_4fb2c97e,True,False,False,False
regle_p260_649e2c7f,True,False,False,False
regle_p261_186dba1a,True,False,False,False
regle_p261_63746f30,True,False,False,False
regle_p261_7da3cdb6,True,False,False,False
regle_p261_fc832827,True,False,False,False
regle_p262_9f1ae240,True,False,False,False
regle_p265_16f27f9c,True,False,False,False
regle_p265_1e9def08,True,False,False,False
regle_p265_3bb2faa2,True,False,False,False
regle_p265_9a4d7778,True,False,False,False
regle_p265_d02dbde3,True,False,False,False
regle_p266_17e5aeb1,True,False,False,False
regle_p266_96c7cb6f,True,False,False,False
regle_p266_a57934af,True,False,False,False
regle_p267_71ccad8a,True,False,False,False
regle_p267_de2327b0,True,False,False,False
regle_p268_6be0ffcf,True,False,False,False
regle_p269_0fa43890,True,False,False,False
regle_p269_228c63f8,True,False,False,False
regle_p269_5f391c1a,True,False,False,False
regle_p269_923918c7,True,False,False,False
regle_p269_eb825580,True,False,False,False
regle_p26_c70cd1cb,True,False,False,False
regle_p270_148ed961,True,False,False,False
regle_p270_18a036fa,True,False,False,False
regle_p270_8c5d5d45,True,False,False,False
regle_p270_ae3d42af,True,False,False,False
regle_p271_2a61195c,True,False,False,False
regle_p271_ad76edc7,True,False,False,False
regle_p271_b0b281f2,True,False,False,False
regle_p271_b852372a,True,False,False,False
regle_p272_07fad80f,True,False,False,False
regle_p272_47e6a47a,True,False,False,False
regle_p272_d5f9cbc5,True,False,False,False
regle_p272_f607f654,True,False,False,False
regle_p273_0e125fad,True,False,False,False
regle_p273_398a2b97,True,False,False,False
regle_p273_6afd6ec0,True,False,False,False
regle_p273_73e5011f,True,False,False,False
regle_p273_c6ab0f35,True,False,False,False
regle_p273_e3ebb3bc,True,False,False,False
regle_p274_0f56c591,True,False,False,False
regle_p274_bb2c00d9,True,False,False,False
regle_p275_01a02c68,True,False,False,False
regle_p276_15c8ad55,True,False,False,False
regle_p276_410191c4,True,False,False,False
regle_p276_545cead8,True,False,False,False
regle_p276_63ef87a4,True,False,False,False
regle_p276_aa722258,True,False,False,False
regle_p277_5f3f1c6c,True,False,False,False
regle_p279_59d2f902,True,False,False,False
regle_p279_7d9bc3d0,True,False,False,False
regle_p279_9dcb6998,True,False,False,False
regle_p279_f048d25a,True,False,False,False
regle_p27_70bf31c3,True,False,False,False
regle_p280_ad519c9f,True,False,False,False
regle_p281_851679b0,True,False,False,False
regle_p282_71f85f93,True,False,False,False
regle_p282_f885ae3f,True,False,False,False
regle_p283_de625629,True,False,False,False
regle_p283_f7778673,True,False,False,False
regle_p284_2dd5ceaf,True,False,False,False
regle_p284_314baacd,True,False,False,False
regle_p284_3d23678a,True,False,False,False
regle_p284_3f84b06c,True,False,False,False
regle_p284_42a0a68b,True,False,False,False
regle_p284_4e553037,True,False,False,False
regle_p284_7d5dd758,True,False,False,False
regle_p284_ded9618d,True,False,False,False
regle_p286_4b750a7d,True,False,False,False
regle_p286_89b829ae,True,False,False,False
regle_p286_b7e5f7dc,True,False,False,False
regle_p286_c3601fd9,True,False,False,False
regle_p287_09a5351b,True,False,False,False
regle_p287_16c3d52b,True,False,False,False
regle_p287_3d88b9f0,True,False,False,False
regle_p287_a41251a3,True,False,False,False
regle_p287_d19d3caf,True,False,False,False
regle_p288_2436bcc2,True,False,False,False
regle_p288_4237b449,True,False,False,False
regle_p288_6ec90a37,True,False,False,False
regle_p288_d5aafa78,True,False,False,False
regle_p289_047c3595,True,False,False,False
regle_p289_1d58db5e,True,False,False,False
regle_p289_6d67cf2c,True,False,False,False
regle_p289_b47c4190,True,False,False,False
regle_p28_186cdaa1,True,False,False,False
regle_p28_d2d2d842,True,False,False,False
regle_p290_3d4b8031,True,False,False,False
regle_p290_6b3b492d,True,False,False,False
regle_p290_ae223ba1,True,False,False,False
regle_p290_b84235ec,True,False,False,False
regle_p290_ee0157ed,True,False,False,False
regle_p290_f69fda0d,True,False,False,False
regle_p291_16c1f0b5,True,False,False,False
regle_p291_a1f9f7e4,True,False,False,False
regle_p292_3928aca6,True,False,False,False
regle_p292_49cc4abe,True,False,False,False
regle_p292_b80d822a,True,False,False,False
regle_p292_fe86cd32,True,False,False,False
regle_p293_5e4ce6c6,True,False,False,False
regle_p293_f725f09b,True,False,False,False
regle_p293_fc849892,True,False,False,False
regle_p294_03ce3860,True,False,False,False
regle_p294_1c2b28e5,True,False,False,False
regle_p294_2ee44168,True,False,False,False
regle_p294_55354dee,True,False,False,False
regle_p294_580ac5fe,True,False,False,False
regle_p294_b78db1e1,True,False,False,False
regle_p294_c9ed13bd,True,False,False,False
regle_p295_6e50a2be,True,False,False,False
regle_p295_72f016d4,True,False,False,False
regle_p295_94ffdb05,True,False,False,False
regle_p295_c715d163,True,False,False,False
regle_p296_092e82a3,True,False,False,False
regle_p296_48e62de2,True,False,False,False
regle_p296_6623b11e,True,False,False,False
regle_p296_6d7c3afd,True,False,False,False
regle_p296_87dc7e08,True,False,False,False
regle_p296_b7daf0ae,True,False,False,False
regle_p296_c463696f,True,False,False,False
regle_p296_d0c17a4b,True,False,False,False
regle_p297_288379f9,True,False,False,False
regle_p297_9e56887c,True,False,False,False
regle_p297_9fad5cb4,True,False,False,False
regle_p297_a3ebfe31,True,False,False,False
regle_p297_ce1db875,True,False,False,False
regle_p298_3318f05b,True,False,False,False
regle_p298_39156d8c,True,False,False,False
regle_p298_48371637,True,False,False,False
regle_p298_60e7ccf2,True,False,False,False
regle_p298_9396d1ba,True,False,False,False
regle_p298_dc94173d,True,False,False,False
regle_p298_e6d5eca5,True,False,False,False
regle_p298_f638b742,True,False,False,False
regle_p299_221fb1b3,True,False,False,False
regle_p299_9470382d,True,False,False,False
regle_p299_9d1229e5,True,False,False,False
regle_p299_bf5acffe,True,False,False,False
regle_p299_c1485942,True,False,False,False
regle_p299_d0457d7e,True,False,False,False
regle_p299_e39a7b27,True,False,False,False
regle_p301_001ca114,True,False,False,False
regle_p301_14ca7216,True,False,False,False
regle_p301_1af211b2,True,False,False,False
regle_p301_f0240e10,True,False,False,False
regle_p302_076e5ca8,True,False,False,False
regle_p302_da5d3771,True,False,False,False
regle_p303_ab24ee75,True,False,False,False
regle_p303_dba568eb,True,False,False,False
regle_p303_f776ef68,True,False,False,False
regle_p304_1bff4229,True,False,False,False
regle_p304_3855a63a,True,False,False,False
regle_p304_d900c574,True,False,False,False
regle_p304_f14d9ebd,True,False,False,False
regle_p305_3b1ab224,True,False,False,False
regle_p306_28ab0735,True,False,False,False
regle_p306_586e29ea,True,False,False,False
regle_p306_633be5b6,True,False,False,False
regle_p306_651b1049,True,False,False,False
regle_p306_6c28bf9d,True,False,False,False
regle_p306_751742d6,True,False,False,False
regle_p306_93ba959d,True,False,False,False
regle_p306_ffe10ea3,True,False,False,False
regle_p307_51743e86,True,False,False,False
regle_p307_9deedaaa,True,False,False,False
regle_p308_0be8e9b3,True,False,False,False
regle_p309_26a34213,True,False,False,False
regle_p309_34d54912,True,False,False,False
regle_p309_ce86c372,True,False,False,False
regle_p309_e0624e85,True,False,False,False
regle_p309_f986621f,True,False,False,False
regle_p309_fe9aacd5,True,False,False,False
regle_p310_145973b4,True,False,False,False
regle_p310_6bccfc56,True,False,False,False
regle_p310_8330e80d,True,False,False,False
regle_p310_c6d78e78,True,False,False,False
regle_p311_4f15f775,True,False,False,False
regle_p311_6b32f028,True,False,False,False
regle_p311_6f32a325,True,False,False,False
regle_p311_7ff14842,True,False,False,False
regle_p311_f3cdb4d2,True,False,False,False
regle_p312_11f7e9f1,True,False,False,False
regle_p312_4d756c3f,True,False,False,False
regle_p312_55b01dce,True,False,False,False
regle_p312_5e016441,True,False,False,False
regle_p312_8b19b5c0,True,False,False,False
regle_p312_b909fe0a,True,False,False,False
regle_p313_32dfc846,True,False,False,False
regle_p313_9b7b4377,True,False,False,False
regle_p313_dc06a304,True,False,False,False
regle_p313_dfd26b6a,True,False,False,False
regle_p314_8dc937f8,True,False,False,False
regle_p314_df2e6fb2,True,False,False,False
regle_p315_2d3a3be9,True,False,False,False
regle_p315_78c91af4,True,False,False,False
regle_p315_857e234e,True,False,False,False
regle_p315_88db6ece,True,False,False,False
regle_p315_95f9f7e9,True,False,False,False
regle_p315_9ecc95f3,True,False,False,False
regle_p315_ab856c9d,True,False,False,False
regle_p317_fd397d99,True,False,False,False
regle_p318_1b009498,True,False,False,False
regle_p319_66e2b94c,True,False,False,False
regle_p319_976acf6a,True,False,False,False
regle_p320_0511fc40,True,False,False,False
regle_p321_3cd1de0b,True,False,False,False
regle_p321_c9a3249b,True,False,False,False
regle_p321_f8f4af47,True,False,False,False
regle_p322_395c064c,True,False,False,False
regle_p322_a420d074,True,False,False,False
regle_p323_02aadedc,True,False,False,False
regle_p323_09d39242,True,False,False,False
regle_p323_9dec6c91,True,False,False,False
regle_p325_dd8f9fca,True,False,False,False
regle_p326_44a1f4af,True,False,False,False
regle_p326_586f5d9a,True,False,False,False
regle_p326_6236f69e,True,False,False,False
regle_p326_a5c35964,True,False,False,False
regle_p327_d38f846a,True,False,False,False
regle_p328_7bb2de8e,True,False,False,False
regle_p328_eace8a00,True,False,False,False
regle_p329_d9e808b8,True,False,False,False
regle_p331_08efeacd,True,False,False,False
regle_p331_1bcd9f0a,True,False,False,False
regle_p331_3194c7b2,True,False,False,False
regle_p331_7e804ae4,True,False,False,False
regle_p331_a3c67c63,True,False,False,False
regle_p331_a624e247,True,False,False,False
regle_p331_b36443a5,True,False,False,False
regle_p331_f64b3055,True,False,False,False
regle_p335_02ce43eb,True,False,False,False
regle_p336_4c85cbf0,True,False,False,False
regle_p345_ea86e1ba,True,False,False,False
regle_p346_2816a412,True,False,False,False
regle_p347_7191be4e,True,False,False,False
regle_p347_d054456c,True,False,False,False
regle_p348_e636f424,True,False,False,False
regle_p349_6abeaf54,True,False,False,False
regle_p351_4a49bc72,True,False,False,False
regle_p352_060cb5c3,True,False,False,False
regle_p352_ab58f55e,True,False,False,False
regle_p354_7c0c7708,True,False,False,False
regle_p354_9b500724,True,False,False,False
regle_p355_ce0459bc,True,False,False,False
regle_p356_52fe34b9,True,False,False,False
regle_p358_346060d3,True,False,False,False
regle_p359_14c3977d,True,False,False,False
regle_p359_33b94da2,True,False,False,False
regle_p359_470f545b,True,False,False,False
regle_p359_b3faea2c,True,False,False,False
regle_p359_d6b97652,True,False,False,False
regle_p360_2b6cd975,True,False,False,False
regle_p360_be4df2e7,True,False,False,False
regle_p361_5d451415,True,False,False,False
regle_p361_96893b9f,True,False,False,False
regle_p361_bd83512c,True,False,False,False
regle_p363_badb7e29,True,False,False,False
regle_p364_3255b92e,True,False,False,False
regle_p364_34742713,True,False,False,False
regle_p364_8c951dfa,True,False,False,False
regle_p364_9901d875,True,False,False,False
regle_p364_dd25fd36,True,False,False,False
regle_p365_e3dd7cd0,True,False,False,False
regle_p366_19b34ea4,True,False,False,False
regle_p366_36061052,True,False,False,False
regle_p372_16b69234,True,False,False,False
regle_p372_20e61823,True,False,False,False
regle_p372_2450883e,True,False,False,False
regle_p372_367099be,True,False,False,False
regle_p372_3d37a024,True,False,False,False
regle_p372_3f098e2c,True,False,False,False
regle_p372_6f0a5352,True,False,False,False
regle_p372_78276df1,True,False,False,False
regle_p372_c50a93d2,True,False,False,False
regle_p373_2bf27aea,True,False,False,False
regle_p373_45e1f107,True,False,False,False
regle_p373_6f56f803,True,False,False,False
regle_p373_91575f80,True,False,False,False
regle_p373_d455c1c4,True,False,False,False
regle_p373_fdcd1fa4,True,False,False,False
regle_p374_00552dec,True,False,False,False
regle_p374_3160babd,True,False,False,False
regle_p374_5e0de3e2,True,False,False,False
regle_p374_7f612bbb,True,False,False,False
regle_p374_81b40283,True,False,False,False
regle_p374_fd4205b5,True,False,False,False
regle_p375_0bcf1cef,True,False,False,False
regle_p375_0bf7708e,True,False,False,False
regle_p375_12145fbb,True,False,False,False
regle_p375_1588f656,True,False,False,False
regle_p375_1d112ade,True,False,False,False
regle_p375_628e446a,True,False,False,False
regle_p375_6d675ebb,True,False,False,False
regle_p375_75928506,True,False,False,False
regle_p375_9c596e1c,True,False,False,False
regle_p375_a2c062aa,True,False,False,False
regle_p375_ae3e9a82,True,False,False,False
regle_p375_af5a1305,True,False,False,False
regle_p375_b75b0ed4,True,False,False,False
regle_p375_b9fb8d63,True,False,False,False
regle_p375_e242de48,True,False,False,False
regle_p375_ead40327,True,False,False,False
regle_p375_f4e885c3,True,False,False,False
regle_p380_1b93f0aa,True,False,False,False
regle_p380_361c87c2,True,False,False,False
regle_p380_85655cdd,True,False,False,False
regle_p381_72feada7,True,False,False,False
regle_p387_52767f36,True,False,False,False
regle_p387_de26257c,True,False,False,False
regle_p387_e6fd055a,True,False,False,False
regle_p38_6eb672c0,True,False,False,False
regle_p38_a28e6402,True,False,False,False
regle_p38_c7d9930d,True,False,False,False
regle_p394_86812fc1,True,False,False,False
regle_p394_daefaedd,True,False,False,False
regle_p397_26dd5a87,True,False,False,False
regle_p398_083d23ef,True,False,False,False
regle_p398_c51b85b6,True,False,False,False
regle_p399_32e1c837,True,False,False,False
regle_p410_66f4ba9a,True,False,False,False
regle_p410_a448feea,True,False,False,False
regle_p414_60a64ca4,True,False,False,False
regle_p414_e90ee3d9,True,False,False,False
regle_p422_f00e0e58,True,False,False,False
regle_p427_f3958a0e,True,False,False,False
regle_p429_503f90ad,True,False,False,False
regle_p429_abc34c9a,True,False,False,False
regle_p42_51743e86,True,False,False,False
regle_p44_f5c366c0,True,False,False,False
regle_p45_0924c8cd,True,False,False,False
regle_p45_1029a25c,True,False,False,False
regle_p45_9b4f1f05,True,False,False,False
regle_p45_eb8c6016,True,False,False,False
regle_p46_1189b5c3,True,False,False,False
regle_p46_6b2eb445,True,False,False,False
regle_p46_73e16979,True,False,False,False
regle_p46_83eb3566,True,False,False,False
regle_p46_b48d2536,True,False,False,False
regle_p48_33a88df4,True,False,False,False
regle_p48_3b949d74,True,False,False,False
regle_p48_45b3b1ed,True,False,False,False
regle_p48_96326213,True,False,False,False
regle_p48_c38b3bbf,True,False,False,False
regle_p48_c6fce9c3,True,False,False,False
regle_p49_d0dcf38a,True,False,False,False
regle_p50_4a42a2b5,True,False,False,False
regle_p50_80d9ba38,True,False,False,False
regle_p50_c918e7fa,True,False,False,False
regle_p51_d4a7123d,True,False,False,False
regle_p51_f65efcd8,True,False,False,False
regle_p52_e75918b7,True,False,False,False
regle_p57_de729152,True,False,False,False
regle_p58_0c915a59,True,False,False,False
regle_p58_a6ba153a,True,False,False,False
regle_p59_da757343,True,False,False,False
regle_p60_60941870,True,False,False,False
regle_p60_91409ad8,True,False,False,False
regle_p60_a45b19b9,True,False,False,False
regle_p61_049d021f,True,False,False,False
regle_p61_5f891e7a,True,False,False,False
regle_p62_6592120e,True,False,False,False
regle_p62_ac1e9f1b,True,False,False,False
regle_p63_470e08e3,True,False,False,False
regle_p63_5a7f8870,True,False,False,False
regle_p64_50568f85,True,False,False,False
regle_p65_278b520f,True,False,False,False
regle_p65_ed707539,True,False,False,False
regle_p66_90d0feaf,True,False,False,False
regle_p66_c5dcf3ee,True,False,False,False
regle_p67_04bff5d3,True,False,False,False
regle_p67_a9755036,True,False,False,False
regle_p69_41e1438a,True,False,False,False
regle_p69_693457d9,True,False,False,False
regle_p70_738c72b6,True,False,False,False
regle_p71_865c6136,True,False,False,False
regle_p74_10ed91aa,True,False,False,False
regle_p80_22c5af8e,True,False,False,False
regle_p81_6ff6dfc4,True,False,False,False
regle_p81_d0c4cd59,True,False,False,False
regle_p82_3e21bb29,True,False,False,False
regle_p82_e339ed38,True,False,False,False
regle_p83_d386458f,True,False,False,False
regle_p84_5eb22e40,True,False,False,False
regle_p84_a63a08c3,True,False,False,False
regle_p86_13c037df,True,False,False,False
regle_p86_d6d1b77c,True,False,False,False
regle_p86_f01d1859,True,False,False,False
regle_p87_4bd8b74c,True,False,False,False
regle_p87_a9647686,True,False,False,False
regle_p87_aac8b0b5,True,False,False,False
regle_p87_f8f18507,True,False,False,False
regle_p89_7e90e2ad,True,False,False,False
regle_p89_a952ba9a,True,False,False,False
regle_p90_4f24ca7a,True,False,False,False
regle_p96_6bc5ef4d,True,False,False,False
regle_p96_d07733b1,True,False,False,False
regle_p97_1334964e,True,False,False,False
regle_p97_c72bde53,True,False,False,False
regle_p97_f9aba855,True,False,False,False
regle_p98_c400fbff,True,False,False,False
regle_p98_e478e21b,True,False,False,False
